Quelle est la consigne pour les webmestres,rester fidèles aux 216 couleurs garanties pour le web
Quelle est la consigne pour les webmestres,rester fidèles aux 216 couleurs garanties
A quelle époque les moniteurs de couleur 8 bits étaient les plus répandus ,quand la palette de 216 couleurs a été établie
Qui s'est rendu compte que moins des 10% des couleurs de la palette étaient bien affichés ,David Lehn et Hadley Stern
Qui s'est rendu compte que moins des 10% des couleurs de la palette étaient bien affichés ,David Lehn et Hadley Stern
Qui s'est rendu compte que moins des 10% des couleurs de la palette étaient bien affichés ,David Lehn et Hadley Stern
Quel est le nom de la palette de 22 couleurs inventée par David Lehn et Hadley Stern ,palette vraiment garantie
Quel est le nom de la palette de 22 couleurs inventée par David Lehn et Hadley Stern ,"la palette vraiment garantie (""really safe"" palette"
De quelles couleurs est majoritairement composée la palette vraiment garantie ,de tons de vert et de jaune
De quelles couleurs est majoritairement composée la palette vraiment garantie ,de tons de vert et de jaune
Quelles sont les six intensités de couleurs possible ,0 %, 20 %, 40 %, 60 %, 80 %, et 100 %
Quelles sont les six intensités de couleurs possible ,0 %, 20 %, 40 %, 60 %, 80 %, et 100 %
Quelles sont les six intensités de couleurs possible ,0 %, 20 %, 40 %, 60 %, 80 %, et 100
Quel effet induit la manque de correction gamma ,faisant la plupart des couleurs très sombres
Quel effet induit la manque de correction gamma ,des couleurs très sombres
Quelles sont les correspondances des six intensités de couleurs dans le standard LCD ,0 %, 2 %, 10 %, 28 %, 57 %, et 100 %
Quelles sont les correspondances des six intensités de couleurs dans le standard LCD ,0 %, 2 %, 10 %, 28 %, 57 %, et 100 % dans
Quelles sont les intensités qui se mélanges  sur les écrans incompatibles au sRGB ,Les intensités dans le bas de la gamme, particulièrement entre 0 et 3
Sur quel type d'écran l'affichage des couleurs garanties se passe bien ,sRGB
Connaissez-vous un exemple de système où la palette est mutualisée au sein des applications ,X11
Quelles sont les deux tailles de cubes de couleurs souvent allouées par les navigateurs ,5×5×5 ou 4×4×4
Quel est le problème sur les systèmes X11 concernant les couleurs garanties ,les couleurs garanties sur le web trament
Comment peut-on améliorer le problème du tramage sur les systèmes comme le X11 ,en fournissant une image avec une plus large gamme de couleurs
Comment peut-on améliorer le problème du tramage sur les systèmes comme le X11 ,en fournissant une image avec une plus large gamme de couleurs
Pourquoi augmenter la gamme de couleur solutionne t-elle le problème du tramage des systèmes X11 par exemple ,permettant au navigateur de quantifier l'espace de couleur si nécessaire
Pourquoi augmenter la gamme de couleur solutionne t-elle le problème du tramage des systèmes X11 par exemple ,quantifier l'espace de couleur
De quoi sont prémunies les couleurs de la liste ,tramage
De quoi sont prémunies les couleurs de la liste ,au tramage
Sur quel critère ont-été choisies les couleurs de la liste ,palettes choisies par les principales applications de navigateur de l'époque
Sur quel critère ont-été choisies les couleurs de la liste ,des propriétés spéciales qui les rendraient immunisées au tramage
Sur quel critère ont-été choisies les couleurs de la liste ,parce qu'elles correspondaient aux palettes choisies par les principales applications de navigateur de l'époque
Qu'est ce qui a permis un consensus pour choisir les couleurs ,les palettes utilisées par les différents navigateurs populaires n'étaient pas foncièrement différentes
Combien de couleurs les moniteurs avaient à cette époque ,256
Quand est-ce qu'à été conçue la palette de couleurs garanties ,alors que de nombreux moniteurs n'étaient capables d'afficher que 256 couleurs
De combien de couleurs se compose la palette de couleur garanties ,216
De combien de couleurs avaient besoin les systèmes ,seize à vingt couleurs
Combien de gradient de rouge permet la palette de couleurs garanties ,6
Quelle est la formule mathématique pour calculer le nombre de couleurs garanties ,6 × 6 × 6 = 216
Quel homme est nommé à la tête de l'état français à la fin du 10ème siècle ,Hugues Capet
Quel homme est nommé à la tête de l'état français à la fin du 10ème siècle ,Hugues Capet
Quel est le seul endroit sur lequel Hugues Capet a des pouvoirs ,le domaine royal
Sous Hugues Capet, qui possède véritablement les pouvoirs dans les provinces ,le châtelain
Sous Hugues Capet, qui possède véritablement les pouvoirs dans les provinces ,le châtelain
Qui a conquis l'angleterre au 11ème siècle ,duc de Normandie Guillaume
De qui le duc Guillaume de Normandie est le subordonné ,du roi des Francs
De qui le duc Guillaume de Normandie est le subordonné ,du roi des Francs
Combien de villages sont situés sur la côte des blancs ,quatre
Combien de villages sont situés sur la côte des blancs ,quatre
Quels sont les noms des agglomérations de la côte des Blancs ,Avize, Cramant, Le Mesnil-sur-Oger et Oger
Quels sont les noms des agglomérations de la côte des Blancs ,Avize, Cramant, Le Mesnil-sur-Oger et Oger
Qu-est ce que ls cote des blancs ,appellation 
Qu'engendre la côte des blancs ,des champagnes prisés
Qu'engendre la côte des blancs ,champagnes prisés
Que contient les champagnes de la cote des blancs ,vivacité et d'esprit
Que contient les champagnes de la cote des blancs ,empreints de vivacité et d'esprit, aux arômes légers et délicats, symboles de finesse et d'élégance.
De quelle langue est issue le mot mycélium ,grec ancien
De quelle langue est issue le mot mycélium , grec ancien
Quelle autre formulation existe pour le mycélium , blanc de champignon
De quoi est constitué le mycélium ,ensemble de filaments
De quoi est constitué le mycélium ,d'un ensemble de filaments, plus ou moins ramifiés, appelés hyphes
Comment peut-on décrire les cellules du mycélium ,allongées et cloisonnées
Dans quoi sont contenus les noyaux des pseudomycélium , filaments formant des siphons contenant une masse cytoplasmique
Quel est le but de l'ordre d'orange ,favoriser les objectifs du protestantisme
De quel confession est l'ordre d'Orange ,protestante
De quel confession est l'ordre d'Orange ,protestante
Où a été crée l'ordre d'orange ,à Loughgall
Où a été crée l'ordre d'orange ,Loughgall (en) (Irlande)
Quels sont les diverses sujets dont s'empare l'ordre d'orange ,religieuse, politique, culturelle et sociale
Quels sont les diverses sujets dont s'empare l'ordre d'orange ,religieuse, politique, culturelle et sociale
Quand s'est déroulée la bataille de la Boyne ,le 12 juillet 1690
Quelle est l'ambition du palais de Tsaritsyno ,devenir un grand musée d'art international
Qui a créé le musée des beaux-arts Pouchkine ,le père de la poétesse Marina Tsvetaeva
Qui a créé le musée des beaux-arts Pouchkine ,le père de la poétesse Marina Tsvetaeva
Quelles oeuvres issues de l'art occidental sont présentes au musée Pouchkine ,Claude Monet ou Paul Cézanne que celles de Pablo Picasso
Quelles oeuvres issues de l'art occidental sont présentes au musée Pouchkine ,peintures
A quel musée anglais compare-t-on le musée Pouchkine ,British Museum de Londres
A quel musée anglais compare-t-on le musée Pouchkine ,British Museum de Londres
Pourquoi dit-on que le musée Pouchkine ressemble au British Museum ,ses salles sont un croisement des civilisations du monde
Quelle politique architecturale est mise en place aujourd'hui à Moscou ,rénovation de l'architecture pré-communiste
Pour quelle raison a été décidée la réhabilation de l'architecture pré-communiste ,afin de redonner tout son éclat au centre historique de la ville
Par quels types d'architecture se caractérisent les quartiers de l'ancien Arbat et la rue Tverskaïa ,impériale ou bourgeoise
Quels bâtiments ont été relativement bien préservés par l'époque communiste ,églises orthodoxes
Quels bâtiments rappellent l'époque impériale à Moscou ,Le quartier de l'ancien Arbat et les ruelles de la rue Tverskaïa
Quels bâtiments rappellent l'époque impériale à Moscou ,palais
Quels sentiment ont éprouvé les constructeurs de l'hôtel Moskva après la signature du projet par Staline ,crainte
Quels sentiment ont éprouvé les constructeurs de l'hôtel Moskva après la signature du projet par Staline ,crainte
Quels sentiment ont éprouvé les constructeurs de l'hôtel Moskva après la signature du projet par Staline ,crainte
Combien de propositions a reçu Staline pour l'architecture de l'hôtel Moskva ,deux projets différents
Combien de propositions a reçu Staline pour l'architecture de l'hôtel Moskva ,deux
Quels bâtiments hauts ont été construits sous l'époque communiste ,gratte-ciel staliniens
Quelle forme a la façade de l'hôtel Moskva ,asymétrique
A quel endroit la façade de l'hôtel Moskva a particulièrement été modifiée ,sur la place des Théâtres
Quel est la forme géométrique de la tour Choukhov ,hyperboloïdes
Quel mouvement artistique et architectural s'applique au nouvelles construction de Choukhov ,constructiviste
Quel mouvement artistique et architectural s'applique au nouvelles construction de Choukhov ,constructiviste
Quels types de construction d'habitation est apparue à l'époque soviétique ,ensembles résidentiels collectifs
Quels types de construction d'habitation est apparue à l'époque soviétique ,ensembles résidentiels collectifs
Quelle forme prennent les commerces construits par Choukhov ,galeries
Quel est le métier de Vladimir Choukhov ,architecte
Quel est le métier de Vladimir Choukhov ,architecte
Quels édifices religieux sont très présents dans la ville ,églises orthodoxes
Quels édifices religieux sont très présents dans la ville ,nombreuses églises orthodoxes
Quels édifices religieux sont très présents dans la ville ,églises orthodoxes
A quelle période la ville connaît des changements architecturaux majeurs ,époque soviétique
A quelle période la ville connaît des changements architecturaux majeurs ,époque soviétique
Quels bâtiments détruits sous l'époque soviétiques ont été refaits au début du 20ème siècle ,deux cathédrales
Quels bâtiments détruits sous l'époque soviétiques ont été refaits au début du 20ème siècle ,la cathédrale de Kazan et la cathédrale du Christ-Sauveur
Quel chef soviétique décide de lancer une politique de changement de la ville ,Joseph Staline
Quel chef soviétique décide de lancer une politique de changement de la ville ,Joseph Staline
Quel chef soviétique décide de lancer une politique de changement de la ville ,Joseph Staline
Combien de voies contenaient les avenues construites par Staline ,jusqu'à dix voies
Combien de voies contenaient les avenues construites par Staline ,dix
Quel groupe social est considéré comme être la cible idéal pour le ballet Parade ,élite
Quel est le sentiment éprouvé par quelqu'un qui manifeste une joie intense ,allégresse
A quoi doivent se comparer ou s'associer les références artistiques du surréalisme ,progrès scientifiques et industriels
Par quels objets Picasso montre que son oeuvre est réaliste ,Les décors et les costumes cubistes
Par quels objets Picasso montre que son oeuvre est réaliste ,Les décors et les costumes
Comment est qualifié Parade par Jean Cocteau ,ballet réaliste
Quel objet a été produit par Apollinaire pour révéler le concept de surréalisme ,plaquette de présentation
Quelle est la nature de l'oeuvre Parade ,ballet
De quel mouvement artistique est issu Léonide Massine ,cubistes
De quel mouvement artistique est issu Léonide Massine ,cubistes
Qu'a produit Pablo Picasso pour Cocteau ,décor
Qui passe commande à Apollinaire pour réaliser une plaquette pour son ballet ,Serge Diaghilev
Qui passe commande à Apollinaire pour réaliser une plaquette pour son ballet ,Serge Diaghilev
Quel concept est considéré comme être dépassé par le surréalisme ,la face cachée des choses
Quel concept est considéré comme être dépassé par le surréalisme ,surnaturalisme
Sous quelle forme Apollinaire a-t-il envoyé des correspondances à Paul Dermée ,une lettre
Dans quel objet retrouve-t-on des mots et leur définition ,dictionnaires
Quel est le titre de l'oeuvre théatrale écrite par Apollinaire ,Les Mamelles de Tirésias, « drame surréaliste
Que voulait incarner Arthur Rimbaud dans son rapport au surréalisme ,se mettre en état de percevoir la face cachée des choses, une autre réalité
Que voulait incarner Arthur Rimbaud dans son rapport au surréalisme ,un visionnaire
Que voulait incarner Arthur Rimbaud dans son rapport au surréalisme ,être un visionnaire
De quel mouvement politique la majorité des surréalistes se  rapprochent ,Parti communiste français
De quel mouvement politique la majorité des surréalistes se  rapprochent ,Parti communiste français
Quels métiers exercent les accolytes surréalistes de Breton ,écrivains, poètes, peintres, artistes
Quels métiers exercent les accolytes surréalistes de Breton ,écrivains, poètes, peintres, artistes
Quels métiers exercent les accolytes surréalistes de Breton ,écrivains, poètes, peintres
Dans quel document sont inscrits pour la première fois les fondements du mouvement surréaliste ,le premier Manifeste
Dans quel document sont inscrits pour la première fois les fondements du mouvement surréaliste ,le premier Manifeste
Pourquoi André Breton n'a pas pu beaucoup participé aux activité s du Parti communiste français ,Il en est exclu
Qui est considéré comme avoir été un des premiers surréalistes avec André Breton ,Benjamin Péret
Quels sont les trois pays particulièrement impliqués dans le mouvement surréaliste ,Royaume-Uni, États-Unis, Tchécoslovaquie
Quel événement historique a eu lieu avant la résurection d'un groupe de surréalistes tchécoslovaques ,Printemps de Prague
Quel événement historique a eu lieu avant la résurection d'un groupe de surréalistes tchécoslovaques ,Printemps de Prague
Comment qualifie-t-on un régime politique qui n'accepte aucune opposition ,totalitaire
Comment s'appelle le phénomène qui consiste à interdire toute production intellectuelle indépendante du pouvoir ou des idées en place ,censurant
Après 1969, comment les surréalistes ont-ils réagi ,ont continué leurs activités de façon ininterrompue
Quelle activité est particulièrement impactée négativement par la pollution des eaux ,production de riz
Quelle activité est particulièrement impactée négativement par la pollution des eaux ,production de riz
Quelle activité est particulièrement impactée négativement par la pollution des eaux ,production de riz
Quel métal est présent dans l'eau et pollue également les rizières en Chine ,cadmium
Quel métal est présent dans l'eau et pollue également les rizières en Chine ,cadmium
Quel métal est présent dans l'eau et pollue également les rizières en Chine ,cadmium
Comment caractérise-t-on une terre qui peut-être cultivée ,arable
Pour quelle autre raison que les catastrophes naturelles de moins en moins de terres peuvent-elles être cultivées ,construction immobilière
Quelle proportion de chinois n'a pas accès à l'eau potable ,un quart
Quelle proportion de chinois n'a pas accès à l'eau potable ,un quart
Quelle proportion de chinois n'a pas accès à l'eau potable ,un quart
Quel est l'ordre de grandeur des dépenses liées au manque d'eau et aux problèmes environnementaux en Chine ,milliards
A quel autre défi que celui de l'environnement la Chine est-elle aujourd'hui confrontée ,surpopulation
Quel matériau granulaire la Chine consomme-t-elle en grande quantité ,sable
Quelle est la caractéristique climatique du Nord de la Chine ,aride
Quelle est la caractéristique climatique du Nord de la Chine ,aride
A quel pays la Chine se compare-t-elle en termes de quantité d'eau disponible ,les États-Unis
A quel pays la Chine se compare-t-elle en termes de quantité d'eau disponible ,États-Unis
A quel pays la Chine se compare-t-elle en termes de quantité d'eau disponible ,États-Unis
Quel corps de métier est assez isolé de la société acadienne ,bûcherons
Comment s'appelle l'activité qui consiste à transporter des troncs d'arbre ,drave
Pourquoi la ville de Bathurst est pratique pour l'exploitation des forêts ,Grâce à son port et ses cours d'eau
Pourquoi la ville de Bathurst est pratique pour l'exploitation des forêts ,son port et ses cours d'eau
A quelle saison les bûcherons doivent ils s'isoler de leur famille ,automne
En quelle saison les bûcherons s'occupent d'acheminer les arbres coupés ,printemps
Quelles sont les trois principales céréales que mangent les acadiens ,le blé, l'orge et le sarrasin
Quelles sont les trois principales céréales que mangent les acadiens ,blé, l'orge et le sarrasin
Quelle technique digue les acadiens construisent pour augmenter la taille de leur terre ,aboiteaux
Quel produit n'est pas vraiment utilisé par les agriculteurs acadiens ,engrais
Dans quelle ville la suproduction de céréales est-elle vendue ,Fredericton
Quel type de chauffage est utilisé dans les maisons acadiennes ,cheminée
Dans quelle ville chinoise est située l'université de Zhejiang ,Hangzhou
Dans quelle ville chinoise est située l'université de Zhejiang ,Hangzhou
Dans quelle ville chinoise est située l'université des sciences et technologie de Chine ,Hefei
Dans quelle ville chinois est située l'université de Wuhan ,Wuhan
Quel est le facteur de comparaison des universités chinoises ,qualité
Quelle autre université que l'université Jiao-tong est située à Shangai ,université normale de la Chine de l'Est
Quel dispositif permet aux déportés d'avoir les moyens de vivre ,l'aide sociale
Quel dispositif permet aux déportés d'avoir les moyens de vivre ,l'aide sociale
Qu'a provoqué l'échec du regroupement des Acadiens dans les différentes zones de déportation ,la plupart des Acadiens décident alors de revenir en Amérique du Nord
Quel Etat américain accueille des Acadiens après leur déportation ,Louisiane
Quel acte juridique provoque le rapatriement des acadiens du Royaume-Uni vers la France ,traité
Quel pays détient la Louisiane en 1762 ,l'Espagne
Quel facteur climatique engendre la mort des familles acadienne déportées ,tempêtes en mer
Quel facteur climatique engendre la mort des familles acadienne déportées ,les tempêtes en mer
Combien d'acadiens sont envoyés en France ,2 500
Combien d'acadiens sont envoyés en France ,2 500
Quelle est la nationalité des personnes qui ont détruit les bâtiments et les champs des acadiens ,Britanniques
Quelle est la nationalité des personnes qui ont détruit les bâtiments et les champs des acadiens ,Britanniques
Comment sont accueillis les acadiens déportés dans les treize colonies ,hostilité de la population locale
Comment sont accueillis les acadiens déportés dans les treize colonies ,hostilité
Quel territoire de l'acadie est attaqué par Rollo ,île Saint-Jean
Quelle catégorie professionnelle est fortement impliquée dans le commerce international à Louisbourg ,marchands
Quelle catégorie professionnelle est fortement impliquée dans le commerce international à Louisbourg ,pêche
Quelle catégorie professionnelle est fortement impliquée dans le commerce international à Louisbourg ,marchands
Quels produits sont exportés des Antilles vers l'Acadie ,le sucre, la mélasse, le rhum, le café et le tabac
Quels produits sont exportés des Antilles vers l'Acadie ,le sucre, la mélasse, le rhum, le café et le tabac
Quel statut a le commerce entre la Nouvelle-Ecosse et l'île Royale ,défendu
Quel statut a le commerce entre la Nouvelle-Ecosse et l'île Royale ,défendu
Quels sont les produits exportés depuis l'Acadie ,céréales, du bétail, du bois d'œuvre et des légumes
Combien d'emplois de pêche sont créés à Louisbourg ,environ mille emplois
Combien d'emplois de pêche sont créés à Louisbourg ,environ mille
Comment est utilisée la Maison Saint-Gabriel en 2013 ,carrefour des fêtes de commémoration
Comment est utilisée la Maison Saint-Gabriel en 2013 ,carrefour des fêtes de commémoration
Quelle ville française a initié en 2013, en France, les commomération de l'arrivée des Filles du Roy en Nouvelle Angleterre ,Rouen
Que contient la plaque commémorative installée à Dieppe ,la mention du Consulat Général de France à Québec et de la Commission Franco-Québécoise
Quelle province du Canada commémore le 350 anniversaire de l'arrivée des Filles du Roy en Nouvelle-Angleterre ,Québec
En quel mois de l'année 2013 a-t-on commémoré en France l'arrivée des Filles du Roy ,juin
Quelle est la monnaie chinoise ,yuans
Quelle est la monnaie chinoise ,yuans
Quelle est la monnaie chinoise ,yuans
Dans quels territoires la Chine a décidé de financer davantage l'éducation ,dans les zones rurales
Quelle décision a pris la Chine en 2007 ,faire de l'éducation une « priorité stratégique
Quelle est la durée du financement prioritaire accordé pour l'enseignement obligatoire ,cinq ans
Quelle est la durée du financement prioritaire accordé pour l'enseignement obligatoire ,cinq ans
Quelle fragment de la population sait lire et écrire à plus de 98% en 2000 ,jeunes Chinois
Quels sont les paramètres qui mettent le réseau ferrovière chinois à la première place ,par sa longueur que par sa vitesse
Quels sont les paramètres qui mettent le réseau ferrovière chinois à la première place ,sa longueur que par sa vitesse
Quels pays sont derrière la Chine en matière de éseau ferroviaire ,la France, l'Allemagne, l'Espagne et les États-Unis
Quels pays sont derrière la Chine en matière de éseau ferroviaire ,la France, l'Allemagne, l'Espagne et les États-Unis
Quel pourcentage du réseau ferroviaire occupe la Chine en 2019 ,60% du total mondial
Quel pourcentage du réseau ferroviaire occupe la Chine en 2019 ,60%
Quel pourcentage du réseau ferroviaire occupe la Chine en 2019 ,60% du total mondial
Quelle est la longueur du réseau ferroviaire chinois en 1988 ,987 kilomètres
Quelle est la longueur du réseau ferroviaire chinois en 1988 ,987 kilomètres
En combien d'années la Chine a pris la tête du classement du réseau ferroviaire mondial ,25 ans
En combien d'années la Chine a pris la tête du classement du réseau ferroviaire mondial ,en 25 ans
Quel métier exerce Pierre-Jakez Hélias à Rennes ,professeur
Quel événement historique marque un changement de métier pour Pierre-Jakez Hélias ,Libération
Comment Pierre-Jakez Hélias s'est-il impliqué politiquement pendant la guerre ,participe à la résistance
Comment Pierre-Jakez Hélias s'est-il impliqué politiquement pendant la guerre ,il participe à la résistance
Quel événement a provoqué l'évacutation de l'école des officiers d'artillerie à Fontainebleau ,l'arrivée des Allemands
Quel métier a exercé Pierre-Jakez Hélias au journal du MLN ,rédacteur en chef
Dans quelle ville a étudié Pierre-Jakez Hélias après son baccalauréat ,Rennes
Quelle langue morte est étudiée dans le cursus de Pierre-Jakez Hélias ,grec
Avec qui étudie Pierre-Jakez Hélias à Rennes ,Paul Ricœur et Pierre Hervé
Avec qui étudie Pierre-Jakez Hélias à Rennes ,Paul Ricœur et Pierre Hervé
Quel choix aurait pu faire Pierre-Jakez Hélias avec son baccalauréat ,entrer dans la vie active
Quel choix aurait pu faire Pierre-Jakez Hélias avec son baccalauréat ,entrer dans la vie active
Quel choix aurait pu faire Pierre-Jakez Hélias avec son baccalauréat ,entrer dans la vie active
Quelle est l'oeuvre de François Vallée ,dictionnaire breton-français
Quelle fonction politique occupait Albert Le Bail ,député
Quelle compétence a acquise Pierre-Alain Hélias pendant la guerre ,il a appris à conduire les poids lourds
A quel endroit Pierre-Alain Hélias a travaillé après la guerre ,scierie du village
A quel endroit Pierre-Alain Hélias a travaillé après la guerre ,la scierie du village
A quel endroit Pierre-Alain Hélias a travaillé après la guerre ,à la scierie du village
"De quel mouvement politique se revendiquent les ""rouges"" ",des républicains radicaux
Quel événement a fait que Pierre-Alain Hélias a changé de métier ,la guerre
Quel événement a fait que Pierre-Alain Hélias a changé de métier ,la guerre
Quel événement a fait que Pierre-Alain Hélias a changé de métier ,guerre
Dans quel régiment a officié le père de Pierre-Jakez Hélias ,35° d'artillerie
Dans quel régiment a officié le père de Pierre-Jakez Hélias ,au 35° d'artillerie
Quelle est la langue maternelle de Pierre-Jakez Hélias ,bretonnant
Quel sentiment éprouve Pierre-Jakez Hélais en apprenant le français ,affection
Quelle relation familiale a Pierre-Jakez Hélias avec les personnes chez qui il passe du temps à Paris ,oncles
Quelle relation familiale a Pierre-Jakez Hélias avec les personnes chez qui il passe du temps à Paris ,oncles
Combien de temps a duré la guerre ,quatre ans
Quelles ont été les conséquences du rapport MacBride ,UNESCO a introduit les programmes La Société de l'information pour tous et Vers les sociétés du savoir
Quelles ont été les priorités de l'UNESCO en matière de libre circulation de l'information à l'après-guerre ,la reconstitution et les besoins des moyens de communication de masse partout dans le monde
Qui sont les bénéficiaires des programmes de l'UNESCO à partir des années 1950 ,journalistes
Quel a été le rôle de Sean MacBride ,Président de la Commission
Qu'ont accueilli les villes de Genève et Tunis, respectivement en 2003 et 2005 ,Sommets mondiaux sur la société de l'information
Qu'ont accueilli les villes de Genève et Tunis, respectivement en 2003 et 2005 ,Sommets mondiaux sur la société de l'information
Quand a débuté le projet de l'éducation de la base dans la vallée de Marbial ,1947
A quel public s'adresse le programme pour une éducation de base de l'UNESCO ,tous, enfants, jeunes et adultes
Quel autre pays a suivi le projet de l'éducation de base ,Haïti
Quel autre pays a suivi le projet de l'éducation de base ,Afghanistan
Quel est l'objectif de l'UNESCO avec le programme pour l'éducation de base ,instituer un enseignement primaire obligatoire, gratuit et universel
Quel événement a lancé le mouvement global pour une éducation de base pour tous ,la Conférence mondiale sur l'éducation pour tous
Quel matériel était nécessaire à l'armée pendant la guerre d'indépendance ,tentes, de chaussures, de nourriture, de fusils et de munitions
Quelle est la composition des milices des Etats américains ,vétérans de la French and Indian War aussi bien que de fermiers et autres volontaires
Quelle est la composition des milices des Etats américains ,vétérans de la French and Indian War aussi bien que de fermiers et autres volontaires
Qui assurait l'entraînement de l'armée ,ex-officiers de l'armée britannique
Qui assurait l'entraînement de l'armée ,ex-officiers de l'armée britannique
A quelle difficulté s'est confrontée l'armée face aux institutions ,Le refus du Congrès de l'aider
A quelle fréquence avait lieu les entraînements de l'armée ,une à deux fois par semaine
Quel pape a proposé une analyse de la parabole du fils prodigue ,Benoît XVI
Quels sont les deux fondements qui permettent de caractériser, selon Benoît XVI, une relation mûre entre parent et enfant ,la reconnaissance et sur l'amour authentique
Quels sont les deux fondements qui permettent de caractériser, selon Benoît XVI, une relation mûre entre parent et enfant ,la reconnaissance et sur l'amour authentique
Comment désigne-t-on un acte ou une vertu qui se fait sincèrement et avec engagement ,authentique
Comment désigne-t-on un acte ou une vertu qui se fait sincèrement et avec engagement ,authentique
Quel est le contraire de l'adjectif négatif ,positif
Qui a utilisé la parabole du fils prodigue dans des enseignements sur le judaïsme et l'Eglise ,plusieurs théologiens, dont saint Pierre Chrysologue
Pendant quelle période la paraboile du Fils prodigue a-t-elle été utilisée par les théologiens ,entre le Ve et VIIIe siècles
Pendant quelle période la paraboile du Fils prodigue a-t-elle été utilisée par les théologiens ,entre le Ve et VIIIe siècles
Qui a été la personne qui a porté la parole de l'amour de Dieu ,Jésus-Christ rédempteur
Qui a été la personne qui a porté la parole de l'amour de Dieu ,Jésus-Christ rédempteur
Quel événement a provoqué la présence d'un représentant humain de Dieu sur terre ,la rupture causée par le Péché originel
Quel religion est symbolisée par le fils aîné dans la parabole du fils prodigue ,judaïsme
Quel religion est symbolisée par le fils aîné dans la parabole du fils prodigue ,le judaïsme
